year,title,clean_test,binary,intgross_2013
2013,21 &amp; Over,notalk,FAIL,42195766
2012,Dredd 3D,ok,PASS,41467257
2013,12 Years a Slave,notalk,FAIL,158607035
2013,2 Guns,notalk,FAIL,132493015
2013,42,men,FAIL,95020213
2013,47 Ronin,men,FAIL,145803842
2013,A Good Day to Die Hard,notalk,FAIL,304249198
2013,About Time,ok,PASS,87324746
2013,Admission,ok,PASS,18007317
2013,After Earth,notalk,FAIL,244373198
2013,American Hustle,ok,PASS,249484909
2013,August: Osage County,ok,PASS,50304874
2013,Beautiful Creatures,ok,PASS,55940671
2013,Blue Jasmine,ok,PASS,68447831
2013,Captain Phillips,notalk,FAIL,218743570
2013,Carrie,ok,PASS,85001659
2013,Cloudy with a Chance of Meatballs 2,nowomen,FAIL,271725448
2013,Despicable Me 2,ok,PASS,970766005
2013,Don Jon,dubious,FAIL,26377704
2013,Elysium,ok,PASS,286192091
2013,Ender&#39;s Game,men,FAIL,89737191
2013,Epic,ok,PASS,268418682
2013,Escape from Planet Earth,ok,PASS,66454811
2013,Escape Plan,men,FAIL,103813103
2013,Evil Dead,ok,PASS,97402049
2013,Fast and Furious 6,ok,PASS,788128122
2013,Frozen,ok,PASS,1004550114
2013,G.I. Joe: Retaliation,ok,PASS,371923060
2013,Gangster Squad,notalk,FAIL,104100903
2013,Gloria,ok,PASS,4967493
2013,Gravity,nowomen,FAIL,708714796
2013,Grown Ups 2,men,FAIL,247023808
2013,Hansel &amp; Gretel: Witch Hunters,ok,PASS,225703475
2013,Her,men,FAIL,33029713
2013,Identity Thief,men,FAIL,176269721
2013,Insidious: Chapter 2,men,FAIL,161911222
2013,Iron Man 3,dubious,FAIL,1212692272
2013,Jack the Giant Slayer,nowomen,FAIL,197387603
2013,Kick-Ass 2,ok,PASS,60839197
2013,Last Vegas,notalk,FAIL,112914167
2013,Lee Daniels&#39; The Butler,ok,PASS,151513429
2013,Machete Kills,ok,PASS,9408161
2013,Mama,ok,PASS,148041253
2013,Man of Steel,ok,PASS,687999518
2013,Nebraska,ok,PASS,17482517
2013,Now You See Me,notalk,FAIL,351723989
2013,Oblivion,men,FAIL,287537983
2013,Olympus Has Fallen,notalk,FAIL,150562164
2013,Oz the Great and Powerful,ok,PASS,489570996
2013,Pacific Rim,notalk,FAIL,411002906
2013,Pain &amp; Gain,notalk,FAIL,81275291
2013,Parker,ok,PASS,46346651
2013,Peeples,dubious,FAIL,9177065
2013,Percy Jackson: Sea of Monsters,ok,PASS,200859554
2013,Prisoners,ok,PASS,113402302
2013,R.I.P.D.,notalk,FAIL,79019947
2013,Red 2,ok,PASS,137162560
2013,Riddick,notalk,FAIL,92425135
2013,Runner Runner,nowomen,FAIL,62616646
2013,Rush,notalk,FAIL,43047624
2013,Safe Haven,ok,PASS,93943623
